12DICHLORETHDEG-PWY	Degradation/Utilization/Assimilation
14DICHLORBENZDEG-PWY	Degradation/Utilization/Assimilation
1CMET2-PWY	Biosynthesis
2AMINOBENZDEG-PWY	Degradation/Utilization/Assimilation
2ASDEG-PWY	Degradation/Utilization/Assimilation
2OXOBUTYRATECAT-PWY	Degradation/Utilization/Assimilation
2PHENDEG-PWY	Degradation/Utilization/Assimilation
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation
4-HYDROXYMANDELATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation
4AMINOBUTMETAB-PWY	Degradation/Utilization/Assimilation
4TOLCARBDEG-PWY	Degradation/Utilization/Assimilation
6-HYDROXYCINEOLE-DEGRADATION-PWY	Degradation/Utilization/Assimilation
ACETATEUTIL-PWY	Degradation/Utilization/Assimilation
ACETOACETATE-DEG-PWY	Degradation/Utilization/Assimilation
AEROBACTINSYN-PWY	Biosynthesis
ALACAT2-PWY	Degradation/Utilization/Assimilation
ALADEG-PWY	Degradation/Utilization/Assimilation
ALANINE-SYN2-PWY	Biosynthesis
ALANINE-VALINESYN-PWY	Biosynthesis
ALKANEMONOX-PWY	Degradation/Utilization/Assimilation
ALL-CHORISMATE-PWY	Superpathways
AMMASSIM-PWY	Degradation/Utilization/Assimilation
AMMOXID-PWY	Degradation/Utilization/Assimilation
ANAEROFRUCAT-PWY	Generation of Precursor Metabolite and Energy
ANAGLYCOLYSIS-PWY	Generation of Precursor Metabolite and Energy
ANAPHENOXI-PWY	Degradation/Utilization/Assimilation
ARABCAT-PWY	Degradation/Utilization/Assimilation
ARG+POLYAMINE-SYN	Biosynthesis
ARG-GLU-PWY	Degradation/Utilization/Assimilation
ARG-PRO-PWY	Degradation/Utilization/Assimilation
ARGASEDEG-PWY	Degradation/Utilization/Assimilation
ARGDEG-III-PWY	Degradation/Utilization/Assimilation
ARGDEG-IV-PWY	Degradation/Utilization/Assimilation
ARGDEG-PWY	Degradation/Utilization/Assimilation
ARGDEG-V-PWY	Degradation/Utilization/Assimilation
ARGDEGRAD-PWY	Degradation/Utilization/Assimilation
ARGORNPROST-PWY	Degradation/Utilization/Assimilation
ARGSPECAT-PWY	Biosynthesis
ARGSYN-PWY	Biosynthesis
ARGSYNBSUB-PWY	Biosynthesis
ARO-PWY	Biosynthesis
ASPARAGINE-BIOSYNTHESIS	Biosynthesis
ASPARAGINE-DEG1-PWY	Degradation/Utilization/Assimilation
ASPARAGINESYN-PWY	Biosynthesis
ASPARTATE-DEG1-PWY	Degradation/Utilization/Assimilation
ASPARTATESYN-PWY	Biosynthesis
ASPASN-PWY	Biosynthesis
AST-PWY	Degradation/Utilization/Assimilation
BENZCOA-PWY	Degradation/Utilization/Assimilation
BETSYN-PWY	Biosynthesis
BGALACT-PWY	Degradation/Utilization/Assimilation
BIOTIN-BIOSYNTHESIS-PWY	Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	Biosynthesis
BSUBPOLYAMSYN-PWY	Biosynthesis
CALVIN-PWY	Degradation/Utilization/Assimilation
CARNMET-PWY	Degradation/Utilization/Assimilation
CAROTENOID-PWY	Biosynthesis
CATECHOL-ORTHO-CLEAVAGE-PWY	Degradation/Utilization/Assimilation
CENTBENZCOA-PWY	Degradation/Utilization/Assimilation
CENTFERM-PWY	Generation of Precursor Metabolite and Energy
CHLOROPHYLL-SYN	Biosynthesis
CHOLINE-BETAINE-ANA-PWY	Degradation/Utilization/Assimilation
CITRULLINE-DEG-PWY	Degradation/Utilization/Assimilation
CO2FORM-PWY	Generation of Precursor Metabolite and Energy
COA-PWY	Biosynthesis
COBALSYN-PWY	Biosynthesis
CODH-PWY	Degradation/Utilization/Assimilation
COLANSYN-PWY	Biosynthesis
COMPLETE-ARO-PWY	Biosynthesis
CRNFORCAT-PWY	Degradation/Utilization/Assimilation
CYANCAT-PWY	Degradation/Utilization/Assimilation
CYCLOHEXANOL-OXIDATION-PWY	Degradation/Utilization/Assimilation
CYSTSYN-PWY	Biosynthesis
DAPLYSINESYN-PWY	Biosynthesis
DARABCAT-PWY	Degradation/Utilization/Assimilation
DARABCATK12-PWY	Degradation/Utilization/Assimilation
DARABITOLUTIL-PWY	Degradation/Utilization/Assimilation
DENITRIFICATION-PWY	Degradation/Utilization/Assimilation
DENOVOPURINE2-PWY	Biosynthesis
DESULFONATION-PWY	Degradation/Utilization/Assimilation
DETOX1-PWY	Detoxification
DETOX1-PWY-1	Detoxification
DHGLUCONATE-PYR-CAT-PWY	Degradation/Utilization/Assimilation
DISSULFRED-PWY	Degradation/Utilization/Assimilation
DTDPRHAMSYN-PWY	Biosynthesis
ECASYN-PWY	Biosynthesis
ENTBACSYN-PWY	Biosynthesis
ENTNER-DOUDOROFF-PWY	Degradation/Utilization/Assimilation
ETOH-ACETYLCOA-ANA-PWY	Degradation/Utilization/Assimilation
FAO-PWY	Degradation/Utilization/Assimilation
FASYN-ELONG-PWY	Biosynthesis
FASYN-INITIAL-PWY	Biosynthesis
FERMENTATION-PWY	Generation of Precursor Metabolite and Energy
FESULFOX-PWY	Degradation/Utilization/Assimilation
FLUORENE-DEG-9-ONE-PWY	Degradation/Utilization/Assimilation
FOLSYN-PWY	Biosynthesis
FORMASS-PWY	Degradation/Utilization/Assimilation
FUC-RHAMCAT-PWY	Superpathways
FUCCAT-PWY	Degradation/Utilization/Assimilation
GALACT-GLUCUROCAT-PWY	Superpathways
GALACTARDEG-PWY	Degradation/Utilization/Assimilation
GALACTCAT-PWY	Degradation/Utilization/Assimilation
GALACTITOLCAT-PWY	Degradation/Utilization/Assimilation
GALACTUROCAT-PWY	Degradation/Utilization/Assimilation
GALDEG-PWY	Degradation/Utilization/Assimilation
GALLATE-DEGRADATION-I-PWY	Degradation/Utilization/Assimilation
GALLATE-DEGRADATION-II-PWY	Degradation/Utilization/Assimilation
GAMMAHEXCHLORDEG-PWY	Degradation/Utilization/Assimilation
GDPRHAMSYN-PWY	Biosynthesis
GLCMANNANAUT-PWY	Degradation/Utilization/Assimilation
GLNSYN-PWY	Degradation/Utilization/Assimilation
GLUAMCAT-PWY	Degradation/Utilization/Assimilation
GLUCARDEG-PWY	Degradation/Utilization/Assimilation
GLUCARGALACTSUPER-PWY	Superpathways
GLUCONEO-PWY	Biosynthesis
GLUCONSUPER-PWY	Degradation/Utilization/Assimilation
GLUCOSE1PMETAB-PWY	Degradation/Utilization/Assimilation
GLUCUROCAT-PWY	Degradation/Utilization/Assimilation
GLUDEG-II-PWY	Generation of Precursor Metabolite and Energy
GLUT-REDOX-PWY	Biosynthesis
GLUTAMATE-DEG1-PWY	Degradation/Utilization/Assimilation
GLUTAMATE-SYN2-PWY	Biosynthesis
GLUTAMINDEG-PWY	Degradation/Utilization/Assimilation
GLUTAMINEFUM-PWY	Degradation/Utilization/Assimilation
GLUTATHIONESYN-PWY	Biosynthesis
GLUTDEG-PWY	Degradation/Utilization/Assimilation
GLUTORN-PWY	Biosynthesis
GLUTSYN-PWY	Biosynthesis
GLUTSYNIII-PWY	Biosynthesis
GLYCEROLMETAB-PWY	Degradation/Utilization/Assimilation
GLYCLEAV-PWY	Degradation/Utilization/Assimilation
GLYCOCAT-PWY	Degradation/Utilization/Assimilation
GLYCOGENSYNTH-PWY	Glycan Pathways
GLYCOL-GLYOXDEG-PWY	Degradation/Utilization/Assimilation
GLYCOLATEMET-PWY	Degradation/Utilization/Assimilation
GLYCOLYSIS	Generation of Precursor Metabolite and Energy
GLYCOLYSIS-E-D	Superpathways
GLYCOLYSIS-TCA-GLYOX-BYPASS	Superpathways
GLYOXDEG-PWY	Degradation/Utilization/Assimilation
GLYOXYLATE-BYPASS	Generation of Precursor Metabolite and Energy
GLYSYN-ALA-PWY	Biosynthesis
GLYSYN-PWY	Biosynthesis
GOLPDLCAT-PWY	Degradation/Utilization/Assimilation
HCAMHPDEG-PWY	Degradation/Utilization/Assimilation
HEME-BIOSYNTHESIS-II	Biosynthesis
HEMESYN2-PWY	Biosynthesis
HEXITOLDEGSUPER-PWY	Degradation/Utilization/Assimilation
HEXPPSYN-PWY	Biosynthesis
HISDEG-PWY	Degradation/Utilization/Assimilation
HISTDEG-PWY	Degradation/Utilization/Assimilation
HISTSYN-PWY	Biosynthesis
HOMOCYSDEGR-PWY	Degradation/Utilization/Assimilation
HOMOSER-METSYN-PWY	Biosynthesis
HOMOSER-THRESYN-PWY	Biosynthesis
HOMOSERSYN-PWY	Biosynthesis
HSERMETANA-PWY	Biosynthesis
IDNCAT-PWY	Degradation/Utilization/Assimilation
ILEUDEG-PWY	Degradation/Utilization/Assimilation
ILEUSYN-PWY	Biosynthesis
KDO-LIPASYN-PWY	Biosynthesis
KDO-NAGLIPASYN-PWY	Biosynthesis
KDOSYN-PWY	Biosynthesis
KETOGLUCONMET-PWY	Degradation/Utilization/Assimilation
LACTOSECAT-PWY	Degradation/Utilization/Assimilation
LACTOSEUTIL-PWY	Degradation/Utilization/Assimilation
LARABITOLUTIL-PWY	Degradation/Utilization/Assimilation
LCYSDEG-PWY	Degradation/Utilization/Assimilation
LEU-DEG2-PWY	Degradation/Utilization/Assimilation
LEUSYN-PWY	Biosynthesis
LIPA-CORESYN-PWY	Biosynthesis
LIPAS-PWY	Degradation/Utilization/Assimilation
LIPASYN-PWY	Degradation/Utilization/Assimilation
LPSSYN-PWY	Biosynthesis
LYXMET-PWY	Degradation/Utilization/Assimilation
M-CRESOL-DEGRADATION-PWY	Degradation/Utilization/Assimilation
MALTOSECAT-PWY	Degradation/Utilization/Assimilation
MANNCAT-PWY	Degradation/Utilization/Assimilation
MANNIDEG-PWY	Degradation/Utilization/Assimilation
MENAQUINONESYN-PWY	Biosynthesis
MET-SAM-PWY	Superpathways
METH-ACETATE-PWY	Generation of Precursor Metabolite and Energy
METHANOGENESIS-PWY	Generation of Precursor Metabolite and Energy
METHFORM-PWY	Generation of Precursor Metabolite and Energy
METHGLYUT-PWY	Degradation/Utilization/Assimilation
METHIONINE-DEG1-PWY	Degradation/Utilization/Assimilation
METHYLGALLATE-DEGRADATION-PWY	Degradation/Utilization/Assimilation
N2FIX-PWY	Degradation/Utilization/Assimilation
NAD-BIOSYNTHESIS-II	Biosynthesis
NAD-BIOSYNTHESIS-III	Biosynthesis
NADPHOS-DEPHOS-PWY	Biosynthesis
NADPHOS-DEPHOS-PWY-1	Biosynthesis
NADSYN-PWY	Biosynthesis
NAGLIPASYN-PWY	Biosynthesis
NONMEVIPP-PWY	Biosynthesis
NONOXIPENT-PWY	Generation of Precursor Metabolite and Energy
NOPALINEDEG-PWY	Degradation/Utilization/Assimilation
NPGLUCAT-PWY	Degradation/Utilization/Assimilation
OANTIGEN-PWY	Biosynthesis
OCTOPINEDEG-PWY	Degradation/Utilization/Assimilation
ORN-AMINOPENTANOATE-CAT-PWY	Biosynthesis
ORNARGDEG-PWY	Degradation/Utilization/Assimilation
ORNDEG-PWY	Degradation/Utilization/Assimilation
OXIDATIVEPENT-PWY	Generation of Precursor Metabolite and Energy
P101-PWY	Biosynthesis
P105-PWY	Generation of Precursor Metabolite and Energy
P108-PWY	Generation of Precursor Metabolite and Energy
P121-PWY	Biosynthesis
P122-PWY	Generation of Precursor Metabolite and Energy
P124-PWY	Generation of Precursor Metabolite and Energy
P125-PWY	Generation of Precursor Metabolite and Energy
P141-PWY	Degradation/Utilization/Assimilation
P142-PWY	Generation of Precursor Metabolite and Energy
P161-PWY	Generation of Precursor Metabolite and Energy
P162-PWY	Generation of Precursor Metabolite and Energy
P163-PWY	Generation of Precursor Metabolite and Energy
P164-PWY	Degradation/Utilization/Assimilation
P181-PWY	Degradation/Utilization/Assimilation
P183-PWY	Degradation/Utilization/Assimilation
P184-PWY	Degradation/Utilization/Assimilation
P2-PWY	Biosynthesis
P201-PWY	Degradation/Utilization/Assimilation
P203-PWY	Degradation/Utilization/Assimilation
P21-PWY	Generation of Precursor Metabolite and Energy
P221-PWY	Degradation/Utilization/Assimilation
P222-PWY	Degradation/Utilization/Assimilation
P224-PWY	Degradation/Utilization/Assimilation
P23-PWY	Degradation/Utilization/Assimilation
P241-PWY	Biosynthesis
P261-PWY	Biosynthesis
P281-PWY	Degradation/Utilization/Assimilation
P282-PWY	Generation of Precursor Metabolite and Energy
P283-PWY	Generation of Precursor Metabolite and Energy
P3-PWY	Degradation/Utilization/Assimilation
P301-PWY	Generation of Precursor Metabolite and Energy
P302-PWY	Degradation/Utilization/Assimilation
P303-PWY	Degradation/Utilization/Assimilation
P321-PWY	Degradation/Utilization/Assimilation
P341-PWY	Generation of Precursor Metabolite and Energy
P342-PWY	Degradation/Utilization/Assimilation
P343-PWY	Degradation/Utilization/Assimilation
P344-PWY	Degradation/Utilization/Assimilation
P345-PWY	Degradation/Utilization/Assimilation
P381-PWY	Superpathways
P4-PWY	Biosynthesis
P401-PWY	Degradation/Utilization/Assimilation
P41-PWY	Generation of Precursor Metabolite and Energy
P42-PWY	Degradation/Utilization/Assimilation
P421-PWY	Degradation/Utilization/Assimilation
P441-PWY	Degradation/Utilization/Assimilation
P461-PWY	Generation of Precursor Metabolite and Energy
P481-PWY	Degradation/Utilization/Assimilation
P482-PWY	Degradation/Utilization/Assimilation
P483-PWY	Degradation/Utilization/Assimilation
P541-PWY	Biosynthesis
P542-PWY	Degradation/Utilization/Assimilation
P561-PWY	Degradation/Utilization/Assimilation
P562-PWY	Degradation/Utilization/Assimilation
P581-PWY	Degradation/Utilization/Assimilation
P601-PWY	Degradation/Utilization/Assimilation
P621-PWY	Degradation/Utilization/Assimilation
P641-PWY	Detoxification
P661-PWY	Degradation/Utilization/Assimilation
P662-PWY	Degradation/Utilization/Assimilation
PANTO-PWY	Biosynthesis
PANTOSYN-PWY	Biosynthesis
PARATHION-DEGRADATION-PWY	Degradation/Utilization/Assimilation
PCEDEG-PWY	Degradation/Utilization/Assimilation
PCPDEG-PWY	Degradation/Utilization/Assimilation
PENTOSE-P-PWY	Generation of Precursor Metabolite and Energy
PEPTIDOGLYCANSYN-PWY	Biosynthesis
PHENOLDEG-PWY	Degradation/Utilization/Assimilation
PHENYLALANINE-DEG1-PWY	Degradation/Utilization/Assimilation
PHESYN	Biosynthesis
PHOSLIPSYN-PWY	Biosynthesis
PHOSPHONOTASE-PWY	Degradation/Utilization/Assimilation
PHOTOALL-PWY	Generation of Precursor Metabolite and Energy
PLPSAL-PWY	Biosynthesis
POLYAMINSYN3-PWY	Biosynthesis
POLYAMSYN-PWY	Biosynthesis
POLYISOPRENSYN-PWY	Biosynthesis
PPGPPMET-PWY	Biosynthesis
PROPFERM-PWY	Generation of Precursor Metabolite and Energy
PROPIONMET-PWY	Degradation/Utilization/Assimilation
PROSYN-PWY	Biosynthesis
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	Degradation/Utilization/Assimilation
PROUT-PWY	Degradation/Utilization/Assimilation
PRPP-PWY	Superpathways
PUTDEG-PWY	Degradation/Utilization/Assimilation
PWY-1001	Biosynthesis
PWY-101	Generation of Precursor Metabolite and Energy
PWY-102	Degradation/Utilization/Assimilation
PWY-116	Degradation/Utilization/Assimilation
PWY-1164	Degradation/Utilization/Assimilation
PWY-1263	Degradation/Utilization/Assimilation
PWY-1264	Degradation/Utilization/Assimilation
PWY-1269	Biosynthesis
PWY-1281	Degradation/Utilization/Assimilation
PWY-1341	Degradation/Utilization/Assimilation
PWY-1361	Degradation/Utilization/Assimilation
PWY-1381	Degradation/Utilization/Assimilation
PWY-142	Degradation/Utilization/Assimilation
PWY-1422	Biosynthesis
PWY-1501	Degradation/Utilization/Assimilation
PWY-1541	Degradation/Utilization/Assimilation
PWY-1622	Degradation/Utilization/Assimilation
PWY-1641	Degradation/Utilization/Assimilation
PWY-1701	Degradation/Utilization/Assimilation
PWY-1722	Degradation/Utilization/Assimilation
PWY-1723	Degradation/Utilization/Assimilation
PWY-1781	Degradation/Utilization/Assimilation
PWY-1801	Degradation/Utilization/Assimilation
PWY-181	Generation of Precursor Metabolite and Energy
PWY-1861	Degradation/Utilization/Assimilation
PWY-1881	Generation of Precursor Metabolite and Energy
PWY-1882	Degradation/Utilization/Assimilation
PWY-2	Degradation/Utilization/Assimilation
PWY-2161	Biosynthesis
PWY-2201	Biosynthesis
PWY-2221	Degradation/Utilization/Assimilation
PWY-2242	Degradation/Utilization/Assimilation
PWY-2261	Detoxification
PWY-2301	Biosynthesis
PWY-2361	Degradation/Utilization/Assimilation
PWY-2381	Degradation/Utilization/Assimilation
PWY-2421	Degradation/Utilization/Assimilation
PWY-2503	Degradation/Utilization/Assimilation
PWY-2504	Degradation/Utilization/Assimilation
PWY-2601	Degradation/Utilization/Assimilation
PWY-2622	Biosynthesis
PWY-2661	Biosynthesis
PWY-2721	Degradation/Utilization/Assimilation
PWY-2722	Degradation/Utilization/Assimilation
PWY-283	Degradation/Utilization/Assimilation
PWY-2941	Biosynthesis
PWY-2942	Biosynthesis
PWY-3	Degradation/Utilization/Assimilation
PWY-3001	Biosynthesis
PWY-301	Degradation/Utilization/Assimilation
PWY-3081	Biosynthesis
PWY-3161	Biosynthesis
PWY-3162	Degradation/Utilization/Assimilation
PWY-3181	Degradation/Utilization/Assimilation
PWY-3461	Biosynthesis
PWY-3462	Biosynthesis
PWY-3561	Biosynthesis
PWY-3602	Degradation/Utilization/Assimilation
PWY-3621	Degradation/Utilization/Assimilation
PWY-3641	Degradation/Utilization/Assimilation
PWY-3661	Degradation/Utilization/Assimilation
PWY-3721	Degradation/Utilization/Assimilation
PWY-3722	Biosynthesis
PWY-3781	Generation of Precursor Metabolite and Energy
PWY-3801	Degradation/Utilization/Assimilation
PWY-3941	Biosynthesis
PWY-3982	Degradation/Utilization/Assimilation
PWY-4	Biosynthesis
PWY-40	Biosynthesis
PWY-4081	Biosynthesis
PWY-4101	Degradation/Utilization/Assimilation
PWY-4121	Biosynthesis
PWY-4181	Biosynthesis
PWY-4261	Degradation/Utilization/Assimilation
PWY-43	Biosynthesis
PWY-4341	Biosynthesis
PWY-4361	Biosynthesis
PWY-4381	Biosynthesis
PWY-4521	Generation of Precursor Metabolite and Energy
PWY-46	Biosynthesis
PWY-4601	Generation of Precursor Metabolite and Energy
PWY-4621	Detoxification
PWY-4722	Degradation/Utilization/Assimilation
PWY-4741	Degradation/Utilization/Assimilation
PWY-481	Degradation/Utilization/Assimilation
PWY-4821	Biosynthesis
PWY-4861	Biosynthesis
PWY-4921	Biosynthesis
PWY-4984	Degradation/Utilization/Assimilation
PWY-5005	Biosynthesis
PWY-5022	Generation of Precursor Metabolite and Energy
PWY-5024	Degradation/Utilization/Assimilation
PWY-5025	Biosynthesis
PWY-5026	Biosynthesis
PWY-5027	Biosynthesis
PWY-5028	Degradation/Utilization/Assimilation
PWY-5029	Biosynthesis
PWY-5033	Degradation/Utilization/Assimilation
PWY-5041	Biosynthesis
PWY-5046	Generation of Precursor Metabolite and Energy
PWY-5052	Biosynthesis
PWY-5053	Biosynthesis
PWY-5055	Degradation/Utilization/Assimilation
PWY-5057	Degradation/Utilization/Assimilation
PWY-5062	Degradation/Utilization/Assimilation
PWY-5063	Biosynthesis
PWY-5068	Biosynthesis
PWY-5074	Degradation/Utilization/Assimilation
PWY-5075	Degradation/Utilization/Assimilation
PWY-5080	Biosynthesis
PWY-5084	Generation of Precursor Metabolite and Energy
PWY-5086	Biosynthesis
PWY-5087	Degradation/Utilization/Assimilation
PWY-5088	Generation of Precursor Metabolite and Energy
PWY-5096	Generation of Precursor Metabolite and Energy
PWY-5097	Biosynthesis
PWY-5100	Generation of Precursor Metabolite and Energy
PWY-5101	Biosynthesis
PWY-5103	Biosynthesis
PWY-5104	Biosynthesis
PWY-5108	Biosynthesis
PWY-5120	Biosynthesis
PWY-5121	Biosynthesis
PWY-5122	Biosynthesis
PWY-5123	Biosynthesis
PWY-5130	Degradation/Utilization/Assimilation
PWY-5137	Degradation/Utilization/Assimilation
PWY-5142	Biosynthesis
PWY-5143	Biosynthesis
PWY-5148	Biosynthesis
PWY-5151	Degradation/Utilization/Assimilation
PWY-5154	Biosynthesis
PWY-5155	Biosynthesis
PWY-5159	Degradation/Utilization/Assimilation
PWY-5162	Degradation/Utilization/Assimilation
PWY-5163	Degradation/Utilization/Assimilation
PWY-5165	Degradation/Utilization/Assimilation
PWY-5169	Degradation/Utilization/Assimilation
PWY-5170	Degradation/Utilization/Assimilation
PWY-5171	Degradation/Utilization/Assimilation
PWY-5177	Degradation/Utilization/Assimilation
PWY-5178	Degradation/Utilization/Assimilation
PWY-5179	Degradation/Utilization/Assimilation
PWY-5180	Degradation/Utilization/Assimilation
PWY-5181	Degradation/Utilization/Assimilation
PWY-5182	Degradation/Utilization/Assimilation
PWY-5183	Degradation/Utilization/Assimilation
PWY-5184	Degradation/Utilization/Assimilation
PWY-5188	Biosynthesis
PWY-5189	Biosynthesis
PWY-5194	Biosynthesis
PWY-5196	Biosynthesis
PWY-5197	Generation of Precursor Metabolite and Energy
PWY-5198	Biosynthesis
PWY-5199	Biosynthesis
PWY-5207	Biosynthesis
PWY-5209	Generation of Precursor Metabolite and Energy
PWY-5247	Generation of Precursor Metabolite and Energy
PWY-5248	Generation of Precursor Metabolite and Energy
PWY-5250	Generation of Precursor Metabolite and Energy
PWY-5254	Biosynthesis
PWY-5257	Degradation/Utilization/Assimilation
PWY-5258	Generation of Precursor Metabolite and Energy
PWY-5259	Generation of Precursor Metabolite and Energy
PWY-5260	Generation of Precursor Metabolite and Energy
PWY-5261	Generation of Precursor Metabolite and Energy
PWY-5265	Biosynthesis
PWY-5266	Degradation/Utilization/Assimilation
PWY-5273	Degradation/Utilization/Assimilation
PWY-5274	Degradation/Utilization/Assimilation
PWY-5276	Degradation/Utilization/Assimilation
PWY-5277	Degradation/Utilization/Assimilation
PWY-5278	Degradation/Utilization/Assimilation
PWY-5279	Degradation/Utilization/Assimilation
PWY-5280	Degradation/Utilization/Assimilation
PWY-5283	Degradation/Utilization/Assimilation
PWY-5285	Degradation/Utilization/Assimilation
PWY-5288	Biosynthesis
PWY-5294	Degradation/Utilization/Assimilation
PWY-5296	Degradation/Utilization/Assimilation
PWY-5297	Biosynthesis
PWY-5298	Degradation/Utilization/Assimilation
PWY-5302	Degradation/Utilization/Assimilation
PWY-5303	Degradation/Utilization/Assimilation
PWY-5304	Degradation/Utilization/Assimilation
PWY-5306	Degradation/Utilization/Assimilation
PWY-5308	Degradation/Utilization/Assimilation
PWY-5314	Degradation/Utilization/Assimilation
PWY-5327	Degradation/Utilization/Assimilation
PWY-5331	Biosynthesis
PWY-5332	Degradation/Utilization/Assimilation
PWY-5335	Degradation/Utilization/Assimilation
PWY-5336	Degradation/Utilization/Assimilation
